Deprem,Borehole,Fault_Type,Mw,PGA,PGV,PGV2/PGA,lnIa,lnCAV5,R,R_star,Log_LSI,S,W,T15,NT,FC15,D5015,zcr,Vs,Observation,Reference
Christchurch (2011),1879,Oblique,6.3,0.44,72.8,12.28,-0.41,7.17,7.2,8.13,0.59,0,8.3,8.7,0.3,18.2,0.17,4.2,196,75,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1880,Oblique,6.3,0.42,36.7,3.27,-0.47,7.22,7.8,8.73,0.52,0,8.7,5.25,2.25,8.77,0.19,2.25,196,40,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),4309,Oblique,6.3,0.63,72.8,8.58,-0.55,7.29,8.7,9.63,0.43,0,4.6,3.05,0.7,8.47,0.24,0.7,189,45,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),4478,Oblique,6.3,0.63,72.8,8.58,-0.55,7.29,8.7,9.63,0.43,0,0.87,7.55,0.7,2.57,0.19,0.7,189,36,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),4487,Oblique,6.3,0.63,72.8,8.58,-0.55,7.29,8.7,9.63,0.43,2.5,2.2,3,0.7,5.99,0.29,8.25,189,0.4,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),4931,Oblique,6.3,0.62,72.8,8.72,-0.55,7.29,8.7,9.63,0.43,1.5,1.7,3,1.25,5.11,0.19,2.75,189,55,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),5987,Oblique,6.3,0.61,72.8,8.86,-0.55,7.29,8.7,9.63,0.43,1.8,15,6.35,0.4,5.25,0.19,2.25,189,100,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),8589,Oblique,6.3,0.49,72.8,11.03,-0.58,7.31,9,9.93,0.41,1,0.7,5.25,3.75,6.36,0.19,8.25,201,30,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),8590,Oblique,6.3,0.49,72.8,11.03,-0.58,7.31,9,9.93,0.41,1,0,1.5,7.25,6.8,0.19,13.25,201,10,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),13672,Oblique,6.3,0.44,72.8,12.28,-0.39,7.16,7,7.93,0.61,0,2.1,14.5,2.25,4.87,0.19,6.825,196,36,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),15471,Oblique,6.3,0.48,72.8,11.26,-0.39,7.16,7,7.93,0.61,1,0,3.75,3.75,9.52,0.27,9.75,196,25,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),15603,Oblique,6.3,0.46,72.8,11.75,-0.39,7.16,7,7.93,0.61,1,0.78,3,5.35,4.67,0.19,6.85,196,8,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),15604,Oblique,6.3,0.44,72.8,12.28,-0.58,7.31,9,9.93,0.41,0,1.04,5.2,0.8,10.43,0.19,6.75,201,54,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),15692,Oblique,6.3,0.47,72.8,11.5,-0.58,7.31,9,9.93,0.41,0,1.7,5.05,1,31.04,0.21,3.825,196,20,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),17407,Oblique,6.3,0.43,67.8,10.9,-0.43,7.19,7.4,8.33,0.56,0,1.67,0.75,6.75,3.93,0.19,8.625,201,27,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),17997,Oblique,6.3,0.45,67.8,10.42,-0.43,7.19,7.4,8.33,0.56,0,3.13,6,3.75,8.11,0.19,9.75,201,30,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),20946,Oblique,6.3,0.44,67.8,10.65,-0.43,7.19,7.4,8.33,0.56,2,3.05,0.8,2.23,15.21,0.56,9.9,201,50,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),21857,Oblique,6.3,0.32,36.7,4.29,-0.43,7.19,7.4,8.33,0.56,1,1.46,2.05,0.2,3.59,0.19,0.2,196,106,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),21867,Oblique,6.3,0.45,72.8,12.01,-0.51,7.25,8.2,9.13,0.48,0,5.6,1.2,6.85,15.45,0.19,8.5,201,53,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),21869,Oblique,6.3,0.45,72.8,12.01,-0.51,7.25,8.2,9.13,0.48,2,3.1,6.1,2.23,12.78,0.21,8.325,201,46,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),23512,Oblique,6.3,0.46,72.8,11.75,-0.51,7.25,8.2,9.13,0.48,0,3.6,1.55,3.83,10.27,0.34,3.825,201,52,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Fukui (1948),KR1,Oblique,7.3,0.4,35.21,3.16,-0.15,11.79,16,23.19,0.84,2,1.35,0,6.2,0,0,6.2,189,59,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Fukui (1948),KR2,Oblique,7.3,0.4,35.21,3.16,-0.15,11.79,16,23.19,0.84,2,1.46,3.4,2.9,13.75,0.28,2.9,189,389,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Fukui (1948),KR3,Oblique,7.3,0.4,35.21,3.16,-0.15,11.79,16,23.19,0.84,2,1.6,3.1,3.5,4.33,0.42,7.5,189,193,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Fukui (1948),KR6,Oblique,7.3,0.4,34.1,2.96,-0.23,11.85,17,24.19,0.79,2,1.72,6.2,8.6,5,0.35,8.6,189,98,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Fukui (1948),KR7,Oblique,7.3,0.4,34.1,2.96,-0.23,11.85,17,24.19,0.79,2,1.23,6.2,3.5,5,0.35,6,189,95,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Fukui (1948),KR8,Oblique,7.3,0.4,34.1,2.96,-0.23,11.85,17,24.19,0.79,2,10.21,0,14.4,0,0,17,189,68,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Fukui (1948),KR9,Oblique,7.3,0.4,34.1,2.96,-0.23,11.85,17,24.19,0.79,2,19.81,5.5,2.2,4.83,0.37,16.5,189,63,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Guatemala (1976),LP_1,Oblique,7.5,0.12,50.15,21.37,0.56,12.19,10,20.84,1.4,3.5,1.03,6.71,4.4,10,1,14.86,167,0,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Guatemala (1976),LP_2,Oblique,7.5,0.12,50.15,21.37,0.56,12.19,10,20.84,1.4,5.24,0.78,1.52,6.73,10,1,15.32,150,0,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Guatemala (1976),LP_3,Oblique,7.5,0.12,50.15,21.37,0.56,12.19,10,20.84,1.4,5.24,0.76,3.05,13.5,10,1,15.01,167,0,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Hokkaida Nansei Oki (1993),B-1,Oblique,7.8,0.7,59.78,5.21,,13.36,10,30.04,1.67,0,0,6.4,2.5,0,0.68,2.5,134,66.5,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Hokkaida Nansei Oki (1993),B-2,Oblique,7.8,0.7,59.78,5.21,,13.36,10,30.04,1.67,0,0,3.9,2.2,0,1.79,3,134,57,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Hokkaida Nansei Oki (1993),B-3,Oblique,7.8,0.7,59.78,5.21,,13.36,10,30.04,1.67,0,0,4.1,2.3,0,0.43,4.5,134,99.65,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Hokkaida Nansei Oki (1993),B-Existing,Oblique,7.8,0.7,59.78,5.21,,13.36,10,30.04,1.67,0,0,8.6,1.4,0,0.37,1.4,134,71.58,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Hokkaida Nansei Oki (1993),B-4,Oblique,7.8,0.7,59.78,5.21,,13.36,10,30.04,1.67,0,0,4.1,2.1,0,0.38,2.1,134,130.58,"Hasançebi, Si (2000), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),AI1,Oblique,6.9,0.6,40,2.72,0.02,9.82,10,13.17,0.86,0.1,0,1,2.5,20,1,13,189,40,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),CK1,Oblique,6.9,0.35,40,4.66,0.02,9.82,10,13.17,0.86,0,5.16,3,14,20,1,14,188,20,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),LP1,Oblique,6.9,0.54,70,9.25,0.44,9.47,5.5,8.67,1.34,0,14.34,16.5,3.5,12.38,1.3,3.5,152,130,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),LP2,Oblique,6.9,0.54,70,9.25,0.44,9.47,5.5,8.67,1.34,0,14.56,16.5,3.5,12.38,1.3,3.5,152,133,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),LP3,Oblique,6.9,0.54,70,9.25,0.44,9.47,5.5,8.67,1.34,0,9.79,16.5,3.5,12.38,1.3,3.5,152,146,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),LP4,Oblique,6.9,0.54,70,9.25,0.44,9.47,5.5,8.67,1.34,0,56.82,16.5,3.5,12.38,1.3,3.5,152,247,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),LP5,Oblique,6.9,0.54,70,9.25,0.44,9.47,5.5,8.67,1.34,0,30.2,16.5,3.5,12.38,1.3,3.5,152,282,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),PI1,Oblique,6.9,0.54,65,7.98,0.35,9.55,6.5,9.67,1.21,0,5.16,13,2.6,9.57,1.59,13,157,33,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),PI2,Oblique,6.9,0.54,65,7.98,0.35,9.55,6.5,9.67,1.21,0,9.84,13,2.6,9.57,1.59,13,157,102,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),PI3,Oblique,6.9,0.54,65,7.98,0.35,9.55,6.5,9.67,1.21,0,14.63,13,2.6,9.57,1.59,13,157,157,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),PI4,Oblique,6.9,0.54,60,6.8,0.4,9.51,6,9.17,1.27,0,9.25,13.5,3.5,13.27,0.94,3.5,164,100,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),PI5,Oblique,6.9,0.54,60,6.8,0.4,9.51,6,9.17,1.27,0,15,13.5,3.5,13.27,0.94,3.5,164,147,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),PI6,Oblique,6.9,0.54,55,5.71,0.26,9.63,7.5,10.67,1.09,0,10.4,11.5,3.5,9.27,0.55,11.5,176,88,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),PI7,Oblique,6.9,0.54,55,5.71,0.26,9.63,7.5,10.67,1.09,0,13.95,11.5,3.5,9.27,0.55,11.5,176,117,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),PI8,Oblique,6.9,0.54,55,5.71,0.26,9.63,7.5,10.67,1.09,0,18.56,11.5,3.5,9.27,0.55,11.5,176,132,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),RI1,Oblique,6.9,0.54,50,4.72,0.21,9.67,8,11.17,1.04,0,20.69,14.4,2.6,14.83,2.32,3.5,155,89,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),RI2,Oblique,6.9,0.54,50,4.72,0.21,9.67,8,11.17,1.04,0,8.45,14.4,2.6,14.83,2.32,3.5,155,40,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),RI3,Oblique,6.9,0.54,50,4.72,0.21,9.67,8,11.17,1.04,0,16.82,14.4,2.6,14.83,2.32,3.5,155,92,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),RI4,Oblique,6.9,0.54,50,4.72,0.21,9.67,8,11.17,1.04,0,14.63,14.4,2.6,14.83,2.32,3.5,155,65,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),RI5,Oblique,6.9,0.54,50,4.72,0.21,9.67,8,11.17,1.04,0,6.67,14.4,2.6,14.83,2.32,3.5,155,44,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Hyogoken Nanbu (1995),RI6,Oblique,6.9,0.54,50,4.72,0.21,9.67,8,11.17,1.04,0,18,14.4,2.6,14.83,2.32,3.5,155,96,"Hasançebi, Fukushima (1997), Travasarou vd. (2003) Ia alındı."
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,2,4.69,2.83,1.62,26,0.1,3.4,185,86,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.64,4.8,2.83,1.62,26,0.1,3.4,185,66,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.67,6.67,2.83,1.62,26,0.1,3.4,185,112,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.79,6.15,2.83,1.62,26,0.1,3.4,185,109,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.82,7.89,2.83,1.62,26,0.1,3.4,185,203,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,2.13,3.52,2.83,1.62,26,0.1,3.4,185,46,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,2.04,3.68,2.83,1.62,26,0.1,3.4,185,46,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.96,6.35,2.83,1.62,26,0.1,3.4,185,140,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.85,8.05,2.83,1.62,26,0.1,3.4,185,211,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.69,6.45,2.83,1.62,26,0.1,3.4,185,152,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.41,8.57,2.83,1.62,26,0.1,3.4,185,262,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.3,6.15,3.97,1.52,14,0.12,3.05,125,150,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.43,9.16,3.97,1.52,14,0.12,3.05,125,381,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,2.17,9.6,3.97,1.52,14,0.12,3.05,125,399,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,1.85,6.78,3.97,1.52,14,0.12,3.05,125,229,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,2.7,9.38,3.97,1.52,14,0.12,3.05,125,424,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,2.44,6.56,3.97,1.52,14,0.12,3.05,125,201,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,5.26,6.56,3.97,1.52,14,0.12,3.05,125,147,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,4.17,8.05,2.58,1.52,31.65,0.08,4.2,177,2,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,5.26,6.78,4.62,1.52,14,0.12,3.05,149,71,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,4.35,9.84,4.62,1.52,14,0.12,3.05,149,262,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,5,7.02,4.62,1.52,14,0.12,3.05,149,142,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),71,Strike-Slip,6.5,0.51,22.67,1.03,-1.61,8.04,10,11.4,0.5,2.78,10.08,4.62,1.52,14,0.12,3.05,149,320,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),260,Strike-Slip,6.5,0.21,22.67,2.5,-1.61,8.04,10,11.4,0.5,0.56,0,1.15,1.85,19.13,0.12,5,188,0,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Imperial Valley (1979),261,Strike-Slip,6.5,0.21,22.67,2.5,-1.61,8.04,10,11.4,0.5,0.56,10.66,2,0,35,0.17,1.6,156,0,"Al Bawwab, Si (2000), Kramer (2006) Fault type buradan alındı, Wilson (1993) Ia buradan alındı"
Kanto (1923),K-11,Reverse,7.9,0.2,22.14,2.5,,15.9,100,124.6,-0.1,0.7,0,2.83,2,25,0.1,4.03,,150,"Hasançebi, Si (2000)"
Kanto (1923),K-2,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.7,0,10.08,0.9,8,0.3,12.73,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-3,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.7,0,6,1.73,8,0.3,12.73,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-4,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.7,0,3.33,1.4,8,0.3,3.73,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-5,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.7,0,6.33,1.4,8,0.3,9.73,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-6,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.7,0,7.13,1.6,8,0.3,4.73,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-7,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.4,0,4.23,0.5,5.33,0.28,10.73,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-8,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.4,0,2.93,0.8,11.67,0.28,0.8,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-9,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.4,0,7.93,0.8,44.75,0.3,4.73,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-10,Reverse,7.9,0.25,25.06,2.56,,15.68,80,104.6,0.08,0.4,0,6,2.73,50,0.3,6.73,,300,"Hasançebi, Si (2000)"
Kanto (1923),K-12,Reverse,7.9,0.2,22.14,2.5,,15.9,100,124.6,-0.1,0.7,0,3.73,1,7.2,0.25,1,,150,"Hasançebi, Si (2000)"
Kanto (1923),K-13,Reverse,7.9,0.2,22.14,2.5,,15.9,100,124.6,-0.1,0.7,0,2.4,1.63,3,0.15,4.03,,150,"Hasançebi, Si (2000)"
Kocaeli (1999),SH-4,Strike-Slip,7.4,0.41,57.3,8.17,-1.44,12.58,29.1,37.93,0.45,4,0,7.25,0.5,6.02,5.15,1.39,163,130,"Çetin vd. (2002), PEER Web Sayfası), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),SH-7,Strike-Slip,7.4,0.41,57.3,8.17,-1.44,12.58,29.1,37.93,0.45,2,0,12.6,1.25,8.12,0.25,11,163,70,"Çetin vd. (2002), PEER Web Sayfası), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),SH-9,Strike-Slip,7.4,0.41,57.3,8.17,-1.44,12.58,29.1,37.93,0.45,2,0,0.98,2.57,16,1.9,11.64,163,20,"Çetin vd. (2002), PEER Web Sayfası), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),SH-11,Strike-Slip,7.4,0.41,57.3,8.17,-1.44,12.58,29.1,37.93,0.45,1.2,0,8.92,1.2,12.65,2.07,3.93,163,70,"Çetin vd. (2002), PEER Web Sayfası), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),PS-2,Strike-Slip,7.4,0.4,77,15.11,1.94,7.63,0.5,9.33,3.73,10,8,3.8,1.1,23.36,1.14,7.98,190,240,"Çetin vd. (2004)), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),PS-3,Strike-Slip,7.4,0.4,77,15.11,1.94,7.63,0.5,9.33,3.73,1,6,7.9,1.03,30.24,0.1,1.38,190,10,"Çetin vd. (2004)), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),PS-4,Strike-Slip,7.4,0.4,77,15.11,1.94,7.63,0.5,9.33,3.73,1,8,3.5,1.2,11,7.7,6.15,190,180,"Çetin vd. (2004)), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),SF5,Strike-Slip,7.4,0.4,77,15.11,1.94,7.63,0.5,9.33,3.73,0,7,2.78,0.9,42.98,0.64,6.05,93,30,"Çetin vd. (2004)), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),SF6,Strike-Slip,7.4,0.4,77,15.11,1.94,7.63,0.5,9.33,3.73,0,15,1.4,0.8,52,0.07,6.95,93,120,"Çetin vd. (2004)), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),DN1,Strike-Slip,7.4,0.4,77,15.11,1.94,7.63,0.5,9.33,3.73,17,20,4.74,1.7,21.12,0.08,8.73,210,90,"Çetin vd. (2004)), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),DN2,Strike-Slip,7.4,0.4,77,15.11,1.94,7.63,0.5,9.33,3.73,17,5,2.7,2.5,12.06,3.31,3.49,210,0,"Çetin vd. (2004)), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),YH1,Strike-Slip,7.4,0.3,57.3,11.16,1.79,7.63,35,43.83,0.3,0,20,5,2.08,12.25,0.25,2.08,180,20,"Çetin vd. (2004), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),YH2,Strike-Slip,7.4,0.3,57.3,11.16,1.79,7.63,35,43.83,0.3,0,13,6.3,0.9,19.06,0.22,1.55,180,15,"Çetin vd. (2004), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),YH3,Strike-Slip,7.4,0.3,57.3,11.16,1.79,7.63,35,43.83,0.3,0,8,3.02,0.8,14.01,0.22,7.35,180,5,"Çetin vd. (2004), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),A2,Strike-Slip,7.4,0.3,47.01,7.51,-0.04,11.64,10,18.83,1.31,0.3,0,1.2,6.35,35,0.03,6.95,200,14,"Al-Bawwab, PPER Web Sayfası), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
Kocaeli (1999),A4,Strike-Slip,7.4,0.6,47.01,3.76,-0.04,11.64,10,18.83,1.31,0.3,0,0.3,3.9,35,0.02,4.05,200,11,"Al-Bawwab, PPER Web Sayfası), AFAD & SeismoSignal, Travasarou vd. (2003) Fault type buradan alındı"
